date,number_of_strikes,center_point_geom
2018-01-09,78,POINT(-86.9 25.8)
2018-01-09,48,POINT(-86.8 25.8)
2018-01-09,23,POINT(-77.8 25.8)
2018-01-09,25,POINT(-86 25.9)
2018-01-09,37,POINT(-86.9 25.9)
2018-01-09,28,POINT(-86.4 26.2)
2018-01-09,23,POINT(-86.3 25.9)
2018-01-09,159,POINT(-86.2 25.9)
2018-01-09,86,POINT(-86.1 25.9)
2018-01-09,37,POINT(-87 26.1)
2018-01-09,37,POINT(-86.9 26.1)
2018-01-09,36,POINT(-86.2 26.1)
2018-01-09,54,POINT(-85.9 26.1)
2018-01-09,23,POINT(-87.1 26.3)
2018-01-09,35,POINT(-86.2 26.3)
2018-01-09,59,POINT(-86.1 26.3)
2018-01-09,42,POINT(-74.4 26.3)
2018-01-09,31,POINT(-87 26.4)
2018-01-09,43,POINT(-86 26.4)
2018-01-09,38,POINT(-86 26.5)
2018-01-09,100,POINT(-84 26.5)
2018-01-09,40,POINT(-86.8 26.5)
2018-01-09,66,POINT(-86.7 26.5)
2018-01-09,40,POINT(-86.5 26.5)
2018-01-09,106,POINT(-86.4 26.5)
2018-01-09,75,POINT(-86.3 26.5)
2018-01-09,80,POINT(-86.2 26.5)
2018-01-09,92,POINT(-85.9 26.5)
2018-01-09,172,POINT(-85.8 26.5)
2018-01-09,60,POINT(-85.6 26.5)
2018-01-09,46,POINT(-85.5 26.5)
2018-01-09,60,POINT(-86.3 26.2)
2018-01-09,43,POINT(-86.2 26.2)
2018-01-09,26,POINT(-79.7 26.2)
2018-01-09,38,POINT(-86.8 26.6)
2018-01-09,38,POINT(-86.7 26.6)
2018-01-09,96,POINT(-86.6 26.6)
2018-01-09,37,POINT(-86.5 26.6)
2018-01-09,57,POINT(-86.4 26.6)
2018-01-09,67,POINT(-86.3 26.6)
2018-01-09,26,POINT(-86.2 26.6)
2018-01-09,54,POINT(-86.1 26.6)
2018-01-09,285,POINT(-85.8 26.6)
2018-01-09,173,POINT(-85.7 26.6)
2018-01-09,35,POINT(-85.5 26.6)
2018-01-09,23,POINT(-85.4 26.6)
2018-01-09,25,POINT(-83.9 26.6)
2018-01-09,42,POINT(-86.9 26.4)
2018-01-09,53,POINT(-86.3 26.4)
2018-01-09,31,POINT(-85.9 26.4)
2018-01-09,31,POINT(-85.6 26.4)
2018-01-09,38,POINT(-76.5 26.4)
2018-01-09,125,POINT(-76.3 26.7)
2018-01-09,32,POINT(-86 26.8)
2018-01-09,40,POINT(-87.7 26.8)
2018-01-09,103,POINT(-84 26.6)
2018-01-09,37,POINT(-86.3 26.8)
2018-01-09,63,POINT(-85.9 26.8)
2018-01-09,62,POINT(-86.5 26.7)
2018-01-09,55,POINT(-86.4 26.7)
2018-01-09,29,POINT(-86.3 26.7)
2018-01-09,58,POINT(-86.1 26.7)
2018-01-09,176,POINT(-85.7 26.7)
2018-01-09,33,POINT(-76.3 26.9)
2018-01-09,32,POINT(-76.2 26.9)
2018-01-09,23,POINT(-86.9 27.7)
2018-01-09,39,POINT(-74.9 27.1)
2018-01-09,23,POINT(-85.7 27.2)
2018-01-09,29,POINT(-75.4 27.4)
2018-01-09,31,POINT(-75.3 27.4)
2018-01-09,35,POINT(-85.4 27.5)
2018-01-09,47,POINT(-75.2 27.5)
2018-01-09,40,POINT(-85.5 27.6)
2018-01-09,65,POINT(-85.4 27.6)
2018-01-09,26,POINT(-87.9 27.8)
2018-01-09,34,POINT(-88.2 27.9)
2018-01-09,59,POINT(-85.6 27.9)
2018-01-10,29,POINT(-81 22)
2018-01-10,80,POINT(-76.1 24)
2018-01-10,455,POINT(-75.9 24)
2018-01-10,255,POINT(-75.8 24)
2018-01-10,36,POINT(-75.7 24)
2018-01-10,26,POINT(-76 25)
2018-01-10,29,POINT(-76.1 25)
2018-01-10,25,POINT(-85.8 26)
2018-01-10,26,POINT(-85.7 26)
2018-01-10,23,POINT(-85.5 26)
2018-01-10,48,POINT(-80.9 22)
2018-01-10,23,POINT(-80.8 22)
2018-01-10,48,POINT(-73.4 26)
2018-01-10,51,POINT(-73.3 26)
2018-01-10,25,POINT(-80.6 27)
2018-01-10,55,POINT(-80.5 27)
2018-01-10,41,POINT(-78.7 29)
2018-01-10,45,POINT(-111.4 33)
2018-01-10,47,POINT(-76 24)
2018-01-10,31,POINT(-111.6 35)
2018-01-10,39,POINT(-112.4 34)
2018-01-10,63,POINT(-81.1 21.8)
2018-01-10,62,POINT(-81 21.9)
2018-01-10,28,POINT(-80.9 21.9)
2018-01-10,31,POINT(-80.9 22.1)
2018-01-10,23,POINT(-81.1 22.2)
2018-01-10,59,POINT(-79.8 22.6)
2018-01-10,77,POINT(-79.7 22.6)
2018-01-10,23,POINT(-79.2 22.4)
2018-01-10,40,POINT(-76.3 23.2)
2018-01-10,94,POINT(-76.1 23.2)
2018-01-10,44,POINT(-83.5 23.4)
2018-01-10,106,POINT(-83.4 23.4)
2018-01-10,31,POINT(-83.3 23.4)
2018-01-10,146,POINT(-77.1 23.4)
2018-01-10,45,POINT(-76.9 23.4)
2018-01-10,28,POINT(-76.8 23.4)
2018-01-10,28,POINT(-76.2 23.4)
2018-01-10,28,POINT(-75.9 23.1)
2018-01-10,45,POINT(-83.7 23.6)
2018-01-10,39,POINT(-83.6 23.6)
2018-01-10,49,POINT(-83.6 23.3)
2018-01-10,46,POINT(-83.3 23.3)
2018-01-10,31,POINT(-77.4 23.3)
2018-01-10,89,POINT(-76.3 23.3)
2018-01-10,45,POINT(-76.2 23.3)
2018-01-10,70,POINT(-76.1 23.3)
2018-01-10,77,POINT(-77 23.4)
2018-01-10,80,POINT(-77.1 23.7)
2018-01-10,189,POINT(-76.9 23.7)
2018-01-10,105,POINT(-76.8 23.7)
2018-01-10,65,POINT(-76.6 23.7)
2018-01-10,23,POINT(-77 23.8)
2018-01-10,31,POINT(-76 23.8)
2018-01-10,25,POINT(-84.3 23.8)
2018-01-10,35,POINT(-77.1 23.8)
2018-01-10,36,POINT(-83 23.5)
2018-01-10,36,POINT(-77 23.5)
2018-01-10,31,POINT(-83.5 23.5)
2018-01-10,25,POINT(-82.9 23.5)
2018-01-10,28,POINT(-77.1 23.5)
2018-01-10,214,POINT(-76.9 23.5)
2018-01-10,26,POINT(-76.8 23.5)
2018-01-10,88,POINT(-76.1 24.1)
2018-01-10,333,POINT(-75.9 24.1)
2018-01-10,266,POINT(-75.8 24.1)
2018-01-10,47,POINT(-75.7 24.1)
2018-01-10,41,POINT(-76.6 23.8)
2018-01-10,64,POINT(-75.9 23.8)
2018-01-10,67,POINT(-75.8 23.8)
2018-01-10,36,POINT(-76 23.9)
2018-01-10,40,POINT(-77.1 23.6)
2018-01-10,277,POINT(-76.9 23.6)
2018-01-10,40,POINT(-76.6 23.6)
2018-01-10,77,POINT(-77 23.7)
2018-01-10,97,POINT(-84.4 24.3)
2018-01-10,34,POINT(-81.2 24.3)
2018-01-10,85,POINT(-76.9 24.3)
2018-01-10,35,POINT(-75.7 24.3)
2018-01-10,76,POINT(-77 24.4)
2018-01-10,146,POINT(-84.5 24.4)
2018-01-10,283,POINT(-76.9 24.4)
2018-01-10,23,POINT(-76.8 24.4)
2018-01-10,28,POINT(-76.9 23.9)
2018-01-10,25,POINT(-76.8 23.9)
2018-01-10,90,POINT(-75.9 23.9)
2018-01-10,185,POINT(-75.8 23.9)
2018-01-10,35,POINT(-75.7 23.9)
2018-01-10,165,POINT(-76 24.1)
2018-01-10,25,POINT(-84.6 24.1)
2018-01-10,37,POINT(-76.8 24.6)
2018-01-10,53,POINT(-84.4 24.2)
2018-01-10,61,POINT(-84.3 24.2)
2018-01-10,43,POINT(-75.8 24.2)
2018-01-10,32,POINT(-75.7 24.2)
2018-01-10,29,POINT(-75.6 24.2)
2018-01-10,39,POINT(-77 24.3)
2018-01-10,41,POINT(-75.9 24.9)
2018-01-10,33,POINT(-75.8 24.9)
2018-01-10,26,POINT(-76.7 25.1)
2018-01-10,36,POINT(-75.8 24.4)
2018-01-10,33,POINT(-77 24.5)
2018-01-10,110,POINT(-76.9 24.5)
2018-01-10,25,POINT(-76.8 24.5)
2018-01-10,147,POINT(-75.8 24.5)
2018-01-10,66,POINT(-76.7 25.2)
2018-01-10,211,POINT(-76.6 25.2)
2018-01-10,33,POINT(-76.5 25.2)
2018-01-10,28,POINT(-76.4 25.2)
2018-01-10,23,POINT(-75.9 25.2)
2018-01-10,151,POINT(-76.6 25.3)
2018-01-10,54,POINT(-76.5 25.3)
2018-01-10,69,POINT(-75.8 24.8)
2018-01-10,29,POINT(-75.7 24.8)
2018-01-10,34,POINT(-76 25.2)
2018-01-10,25,POINT(-74.2 25.7)
2018-01-10,25,POINT(-85.7 25.6)
2018-01-10,23,POINT(-76.4 25.7)
2018-01-10,31,POINT(-76.3 25.7)
2018-01-10,56,POINT(-76.1 25.7)
2018-01-10,33,POINT(-75.9 25.7)
2018-01-10,28,POINT(-74.2 26.2)
2018-01-10,120,POINT(-76.3 25.8)
2018-01-10,41,POINT(-76.2 25.8)
2018-01-10,26,POINT(-73.3 26.4)
2018-01-10,51,POINT(-73.4 26.2)
2018-01-10,124,POINT(-73.3 26.2)
2018-01-10,53,POINT(-73.2 26.2)
2018-01-10,23,POINT(-85.8 26.1)
2018-01-10,45,POINT(-73.4 26.1)
2018-01-10,92,POINT(-73.3 26.1)
2018-01-10,28,POINT(-73.2 26.1)
2018-01-10,73,POINT(-74.2 26.3)
2018-01-10,128,POINT(-74.1 26.3)
2018-01-10,102,POINT(-73.3 26.3)
2018-01-10,118,POINT(-73.2 26.3)
2018-01-10,46,POINT(-73.1 26.3)
2018-01-10,37,POINT(-74 26.4)
2018-01-10,75,POINT(-81.2 26.4)
2018-01-10,86,POINT(-81.1 26.4)
2018-01-10,36,POINT(-80.9 26.4)
2018-01-10,74,POINT(-74.1 26.4)
2018-01-10,31,POINT(-81.1 26.5)
2018-01-10,35,POINT(-80.9 26.5)
2018-01-10,48,POINT(-80.8 26.6)
2018-01-10,31,POINT(-79.2 26.6)
2018-01-10,29,POINT(-79.1 26.6)
2018-01-10,25,POINT(-80.5 26.8)
2018-01-10,31,POINT(-80.6 26.9)
2018-01-10,52,POINT(-80.8 27.2)
2018-01-10,28,POINT(-80.9 27.3)
2018-01-10,29,POINT(-111.7 33.1)
2018-01-10,43,POINT(-111.3 33.1)
2018-01-10,106,POINT(-80.7 29.3)
2018-01-10,23,POINT(-110.4 33.2)
2018-01-10,55,POINT(-111.2 33.4)
2018-01-10,32,POINT(-112.1 33.6)
2018-01-10,23,POINT(-111.8 33.6)
2018-01-10,28,POINT(-111.6 33.6)
2018-01-10,31,POINT(-111.3 33.7)
2018-01-10,25,POINT(-111.6 33.2)
2018-01-10,26,POINT(-112.3 34.2)
2018-01-10,26,POINT(-110.1 33.7)
2018-01-10,23,POINT(-112.1 33.8)
2018-01-10,36,POINT(-111.9 33.8)
2018-01-10,25,POINT(-111.8 33.8)
2018-01-10,26,POINT(-111.4 33.8)
2018-01-10,28,POINT(-111.9 33.5)
2018-01-10,29,POINT(-111.8 33.5)
2018-01-10,25,POINT(-111.5 33.5)
2018-01-10,23,POINT(-111.2 33.5)
2018-01-10,60,POINT(-112 34.5)
2018-01-10,55,POINT(-112.4 33.9)
2018-01-10,26,POINT(-112.1 33.9)
2018-01-10,45,POINT(-112 34.1)
2018-01-10,26,POINT(-111.9 34.1)
2018-01-10,28,POINT(-112 34.2)
2018-01-10,47,POINT(-112.4 34.2)
2018-01-10,55,POINT(-111.8 34.8)
2018-01-10,23,POINT(-111.7 34.8)
2018-01-10,47,POINT(-112 34.3)
2018-01-10,25,POINT(-111.9 34.3)
2018-01-10,48,POINT(-112 34.4)
2018-01-10,33,POINT(-111.9 34.4)
2018-01-10,29,POINT(-111.7 34.4)
2018-01-10,34,POINT(-111.5 34.4)
2018-01-10,33,POINT(-111.4 34.4)
2018-01-10,28,POINT(-111.2 34.5)
2018-01-10,33,POINT(-111.8 34.7)
2018-01-10,36,POINT(-111.8 34.9)
2018-01-10,37,POINT(-111.7 34.9)
2018-01-11,49,POINT(-95.5 32.1)
2018-01-11,37,POINT(-95.4 32.1)
2018-01-11,23,POINT(-95 32.2)
2018-01-11,36,POINT(-95.4 32.2)
2018-01-11,25,POINT(-95.3 32.2)
2018-01-11,52,POINT(-95.3 32.3)
2018-01-11,60,POINT(-95.2 32.3)
2018-01-11,47,POINT(-95 32.4)
2018-01-11,73,POINT(-95.1 32.4)
2018-01-11,35,POINT(-94.9 32.4)
2018-01-11,84,POINT(-94.8 32.4)
2018-01-11,42,POINT(-95 32.5)
2018-01-11,47,POINT(-95.1 32.5)
2018-01-11,31,POINT(-94.7 32.5)
2018-01-11,39,POINT(-94.5 32.5)
2018-01-11,96,POINT(-95 32.6)
2018-01-11,61,POINT(-94.8 32.6)
2018-01-11,42,POINT(-94.5 32.6)
2018-01-11,61,POINT(-94.9 32.8)
2018-01-11,69,POINT(-94.7 32.8)
2018-01-11,94,POINT(-94.6 32.8)
2018-01-11,39,POINT(-94.5 32.8)
2018-01-11,32,POINT(-94.3 32.8)
2018-01-11,37,POINT(-94.7 32.9)
2018-01-11,43,POINT(-94.4 33.1)
2018-01-11,37,POINT(-94.3 33.1)
2018-01-11,31,POINT(-95.1 32.2)
2018-01-11,40,POINT(-94 33.3)
2018-01-11,41,POINT(-93.9 33.5)
2018-01-11,34,POINT(-92.8 33.5)
2018-01-11,35,POINT(-99.9 33.6)
2018-01-11,23,POINT(-95 32.7)
2018-01-11,29,POINT(-94.8 32.7)
2018-01-11,42,POINT(-74.5 24)
2018-01-11,33,POINT(-74.2 24)
2018-01-11,28,POINT(-78.2 25)
2018-01-11,42,POINT(-76.1 21)
2018-01-11,35,POINT(-76.9 23)
2018-01-11,125,POINT(-76.8 23)
2018-01-11,29,POINT(-76.7 23)
2018-01-11,959,POINT(-76 24)
2018-01-11,105,POINT(-77 26)
2018-01-11,48,POINT(-77.6 26)
2018-01-11,33,POINT(-77.5 26)
2018-01-11,39,POINT(-77.4 26)
2018-01-11,47,POINT(-77.3 26)
2018-01-11,44,POINT(-77.2 26)
2018-01-11,122,POINT(-77.1 26)
2018-01-11,25,POINT(-76.9 26)
2018-01-11,59,POINT(-79.8 27)
2018-01-11,28,POINT(-79.7 27)
2018-01-11,367,POINT(-76.1 24)
2018-01-11,144,POINT(-75.9 24)
2018-01-11,33,POINT(-75.7 24)
2018-01-11,141,POINT(-75.6 24)
2018-01-11,80,POINT(-75.5 24)
2018-01-11,44,POINT(-96.3 30)
2018-01-11,44,POINT(-96.2 30)
2018-01-11,32,POINT(-95.8 30)
2018-01-11,49,POINT(-95.7 30)
2018-01-11,51,POINT(-95.5 30)
2018-01-11,54,POINT(-95.4 30)
2018-01-11,28,POINT(-94.9 30)
2018-01-11,60,POINT(-94 31)
2018-01-11,144,POINT(-95.5 31)
2018-01-11,51,POINT(-95.4 31)
2018-01-11,59,POINT(-95.2 31)
2018-01-11,40,POINT(-94.9 31)
2018-01-11,44,POINT(-73.6 25)
2018-01-11,42,POINT(-94.4 33)
2018-01-11,28,POINT(-76 20.8)
2018-01-11,26,POINT(-77 22.4)
2018-01-11,36,POINT(-76.9 22.5)
2018-01-11,37,POINT(-77 22.6)
2018-01-11,105,POINT(-76.9 22.6)
2018-01-11,50,POINT(-77 22.7)
2018-01-11,145,POINT(-76.9 22.7)
2018-01-11,119,POINT(-76.9 22.8)
2018-01-11,50,POINT(-76.8 22.8)
2018-01-11,31,POINT(-95.7 32)
2018-01-11,34,POINT(-94.3 32)
2018-01-11,160,POINT(-76.8 22.9)
2018-01-11,98,POINT(-76.9 22.9)
2018-01-11,35,POINT(-74.5 23.9)
2018-01-11,1611,POINT(-76 24.1)
2018-01-11,28,POINT(-76.2 24.1)
2018-01-11,787,POINT(-76.1 24.1)
2018-01-11,493,POINT(-75.9 24.1)
2018-01-11,31,POINT(-75.8 24.1)
2018-01-11,164,POINT(-75.7 24.1)
2018-01-11,135,POINT(-75.6 24.1)
2018-01-11,78,POINT(-75.5 24.1)
2018-01-11,41,POINT(-74.4 24.1)
2018-01-11,87,POINT(-76.9 23.1)
2018-01-11,41,POINT(-76.7 23.1)
2018-01-11,65,POINT(-76.9 23.2)
2018-01-11,447,POINT(-76 24.3)
2018-01-11,40,POINT(-74 24.3)
2018-01-11,58,POINT(-76.1 24.3)
2018-01-11,896,POINT(-75.9 24.3)
2018-01-11,383,POINT(-75.8 24.3)
2018-01-11,143,POINT(-75.7 24.3)
2018-01-11,348,POINT(-75.6 24.3)
2018-01-11,70,POINT(-75.5 24.3)
2018-01-11,39,POINT(-74.1 24.3)
2018-01-11,23,POINT(-73.6 24.3)
2018-01-11,34,POINT(-76.1 23.9)
2018-01-11,43,POINT(-74.1 24.4)
2018-01-11,111,POINT(-73.9 24.4)
2018-01-11,54,POINT(-73.8 24.4)
2018-01-11,28,POINT(-73.6 24.4)
2018-01-11,137,POINT(-74 24.5)
2018-01-11,76,POINT(-77.7 24.5)
2018-01-11,218,POINT(-77.6 24.5)
2018-01-11,38,POINT(-77.5 24.5)
2018-01-11,39,POINT(-75.9 24.5)
2018-01-11,35,POINT(-75.8 24.5)
2018-01-11,28,POINT(-74.1 24.5)
2018-01-11,158,POINT(-73.9 24.5)
2018-01-11,56,POINT(-73.8 24.5)
2018-01-11,1085,POINT(-76 24.2)
2018-01-11,258,POINT(-76.1 24.2)
2018-01-11,727,POINT(-75.9 24.2)
2018-01-11,83,POINT(-75.8 24.2)
2018-01-11,172,POINT(-75.7 24.2)
2018-01-11,208,POINT(-75.6 24.2)
2018-01-11,73,POINT(-75.5 24.2)
2018-01-11,98,POINT(-74 24.7)
2018-01-11,83,POINT(-77.6 24.7)
2018-01-11,99,POINT(-77.5 24.7)
2018-01-11,47,POINT(-73.6 24.5)
2018-01-11,196,POINT(-74 24.6)
2018-01-11,41,POINT(-77.7 24.6)
2018-01-11,184,POINT(-77.6 24.6)
2018-01-11,26,POINT(-77.5 24.6)
2018-01-11,41,POINT(-75.8 24.6)
2018-01-11,47,POINT(-74.1 24.6)
2018-01-11,105,POINT(-73.9 24.6)
2018-01-11,112,POINT(-76 24.4)
2018-01-11,99,POINT(-74 24.4)
2018-01-11,252,POINT(-75.9 24.4)
2018-01-11,242,POINT(-75.8 24.4)
2018-01-11,61,POINT(-75.7 24.4)
2018-01-11,160,POINT(-75.6 24.4)
2018-01-11,63,POINT(-75.5 24.4)
2018-01-11,40,POINT(-73.9 24.7)
2018-01-11,86,POINT(-74 24.8)
2018-01-11,111,POINT(-77.5 24.8)
2018-01-11,34,POINT(-74.1 24.8)
2018-01-11,28,POINT(-73.9 24.8)
2018-01-11,42,POINT(-78.1 24.9)
2018-01-11,25,POINT(-77.6 24.9)
2018-01-11,35,POINT(-77.5 24.9)
2018-01-11,42,POINT(-73.6 24.6)
2018-01-11,23,POINT(-73.6 24.9)
2018-01-11,80,POINT(-77.3 25.1)
2018-01-11,59,POINT(-77.2 25.1)
2018-01-11,47,POINT(-73.7 25.1)
2018-01-11,69,POINT(-73.6 25.1)
2018-01-11,36,POINT(-73.5 25.1)
2018-01-11,137,POINT(-77.2 25.2)
2018-01-11,78,POINT(-77.1 25.2)
2018-01-11,37,POINT(-73.8 25.2)
2018-01-11,125,POINT(-73.7 25.2)
2018-01-11,73,POINT(-73.6 25.2)
2018-01-11,32,POINT(-73.5 25.2)
2018-01-11,37,POINT(-77 25.3)
2018-01-11,26,POINT(-77.8 25.3)
2018-01-11,39,POINT(-77.6 25.3)
2018-01-11,35,POINT(-77.5 25.3)
2018-01-11,28,POINT(-77.4 25.3)
2018-01-11,38,POINT(-77.3 25.3)
2018-01-11,89,POINT(-77.2 25.3)
2018-01-11,145,POINT(-77.1 25.3)
2018-01-11,25,POINT(-73.9 25.3)
2018-01-11,93,POINT(-73.8 25.3)
2018-01-11,79,POINT(-73.7 25.3)
2018-01-11,64,POINT(-73.6 25.3)
2018-01-11,75,POINT(-77.6 25.4)
2018-01-11,78,POINT(-77.5 25.4)
2018-01-11,42,POINT(-77.3 25.4)
2018-01-11,358,POINT(-77.2 25.4)
2018-01-11,87,POINT(-77.1 25.4)
2018-01-11,46,POINT(-73.8 25.4)
2018-01-11,95,POINT(-73.7 25.4)
2018-01-11,28,POINT(-77 25.5)
2018-01-11,131,POINT(-77.7 25.5)
2018-01-11,70,POINT(-77.6 25.5)
2018-01-11,304,POINT(-77.2 25.5)
2018-01-11,304,POINT(-77.1 25.5)
2018-01-11,40,POINT(-73.7 25.5)
2018-01-11,58,POINT(-77 25.6)
2018-01-11,375,POINT(-77.7 25.6)
2018-01-11,148,POINT(-77.6 25.6)
2018-01-11,29,POINT(-77.3 25.6)
2018-01-11,109,POINT(-77.2 25.6)
2018-01-11,504,POINT(-77.1 25.6)
2018-01-11,171,POINT(-77 25.7)
2018-01-11,51,POINT(-77.5 25.9)
2018-01-11,31,POINT(-77.3 25.9)
2018-01-11,29,POINT(-77.2 25.9)
2018-01-11,53,POINT(-77 26.1)
2018-01-11,26,POINT(-77.5 26.1)
2018-01-11,66,POINT(-77.3 26.1)
2018-01-11,86,POINT(-77.2 26.1)
2018-01-11,117,POINT(-77.1 26.1)
2018-01-11,56,POINT(-77 26.2)
2018-01-11,114,POINT(-77.3 26.2)
2018-01-11,198,POINT(-77.8 25.7)
2018-01-11,176,POINT(-77.7 25.7)
2018-01-11,61,POINT(-77.6 25.7)
2018-01-11,23,POINT(-77.4 25.7)
2018-01-11,29,POINT(-77.2 25.7)
2018-01-11,342,POINT(-77.1 25.7)
2018-01-11,23,POINT(-76.8 25.7)
2018-01-11,36,POINT(-73.6 25.4)
2018-01-11,109,POINT(-77.3 26.4)
2018-01-11,64,POINT(-77.2 26.4)
2018-01-11,75,POINT(-77.1 26.4)
2018-01-11,36,POINT(-77 26.5)
2018-01-11,54,POINT(-77.3 26.5)
2018-01-11,71,POINT(-77.2 26.5)
2018-01-11,63,POINT(-77.1 26.5)
2018-01-11,44,POINT(-77.3 26.6)
2018-01-11,42,POINT(-77.2 26.6)
2018-01-11,47,POINT(-77.1 26.6)
2018-01-11,93,POINT(-77 25.8)
2018-01-11,33,POINT(-77.9 25.8)
2018-01-11,95,POINT(-77.8 25.8)
2018-01-11,40,POINT(-77.7 25.8)
2018-01-11,41,POINT(-77.2 25.8)
2018-01-11,90,POINT(-77.1 25.8)
2018-01-11,94,POINT(-77 25.9)
2018-01-11,32,POINT(-77.9 25.9)
2018-01-11,92,POINT(-77.6 25.9)
2018-01-11,33,POINT(-79.6 26.9)
2018-01-11,60,POINT(-77.2 26.9)
2018-01-11,31,POINT(-77.1 26.9)
2018-01-11,31,POINT(-79.8 27.1)
2018-01-11,37,POINT(-77.2 26.2)
2018-01-11,34,POINT(-77.1 26.2)
2018-01-11,61,POINT(-77 26.3)
2018-01-11,66,POINT(-77.3 26.3)
2018-01-11,150,POINT(-77.2 26.3)
2018-01-11,82,POINT(-77.1 26.3)
2018-01-11,48,POINT(-77 26.4)
2018-01-11,80,POINT(-95.6 28.8)
2018-01-11,107,POINT(-95.5 28.8)
2018-01-11,89,POINT(-95.4 28.8)
2018-01-11,118,POINT(-79.5 26.7)
2018-01-11,50,POINT(-79.3 26.7)
2018-01-11,23,POINT(-79.6 26.8)
2018-01-11,42,POINT(-79.5 26.8)
2018-01-11,35,POINT(-94.8 29.4)
2018-01-11,31,POINT(-94.7 29.4)
2018-01-11,39,POINT(-95.3 28.8)
2018-01-11,50,POINT(-95.6 28.9)
2018-01-11,32,POINT(-94.9 29.6)
2018-01-11,53,POINT(-94.8 29.6)
2018-01-11,39,POINT(-94.7 29.6)
2018-01-11,44,POINT(-95.9 29.2)
2018-01-11,23,POINT(-94 29.4)
2018-01-11,39,POINT(-95.6 29.4)
2018-01-11,34,POINT(-95 29.9)
2018-01-11,78,POINT(-96.4 29.9)
2018-01-11,25,POINT(-94.3 29.4)
2018-01-11,28,POINT(-95.6 29.5)
2018-01-11,43,POINT(-95.4 29.5)
2018-01-11,38,POINT(-95.3 29.5)
2018-01-11,25,POINT(-93.8 29.5)
2018-01-11,32,POINT(-93.7 29.5)
2018-01-11,23,POINT(-95 29.6)
2018-01-11,47,POINT(-95.7 29.6)
2018-01-11,75,POINT(-95.6 29.6)
2018-01-11,46,POINT(-95.5 29.6)
2018-01-11,72,POINT(-95.4 29.6)
2018-01-11,49,POINT(-94.9 30.2)
2018-01-11,38,POINT(-96.7 29.7)
2018-01-11,81,POINT(-96.6 29.7)
2018-01-11,67,POINT(-96.5 29.7)
2018-01-11,58,POINT(-96.4 29.7)
2018-01-11,61,POINT(-96.3 29.7)
2018-01-11,33,POINT(-96.1 29.7)
2018-01-11,36,POINT(-95.5 29.7)
2018-01-11,100,POINT(-95.4 29.7)
2018-01-11,68,POINT(-95.3 29.7)
2018-01-11,44,POINT(-95.2 29.7)
2018-01-11,54,POINT(-95.1 29.7)
2018-01-11,89,POINT(-94.7 29.7)
2018-01-11,65,POINT(-94.6 29.7)
2018-01-11,29,POINT(-96.7 29.8)
2018-01-11,26,POINT(-96.6 29.8)
2018-01-11,32,POINT(-96.5 29.8)
2018-01-11,39,POINT(-96.4 29.8)
2018-01-11,100,POINT(-95.6 29.8)
2018-01-11,39,POINT(-95.5 29.8)
2018-01-11,52,POINT(-95.3 29.8)
2018-01-11,29,POINT(-95.2 29.8)
2018-01-11,42,POINT(-94.9 29.8)
2018-01-11,65,POINT(-94.8 29.8)
2018-01-11,38,POINT(-95.5 29.9)
2018-01-11,26,POINT(-95.3 29.9)
2018-01-11,89,POINT(-96.2 30.1)
2018-01-11,43,POINT(-95.6 30.1)
2018-01-11,51,POINT(-95.5 30.1)
2018-01-11,61,POINT(-95.4 30.1)
2018-01-11,58,POINT(-95.3 30.1)
2018-01-11,35,POINT(-95.2 30.1)
2018-01-11,44,POINT(-95.1 30.1)
2018-01-11,64,POINT(-95 30.2)
2018-01-11,31,POINT(-95.8 30.2)
2018-01-11,38,POINT(-95.7 30.2)
2018-01-11,43,POINT(-95.6 30.2)
2018-01-11,68,POINT(-95.5 30.2)
2018-01-11,58,POINT(-95.4 30.2)
2018-01-11,64,POINT(-95.3 30.2)
2018-01-11,40,POINT(-95.2 30.2)
2018-01-11,32,POINT(-95.1 30.2)
2018-01-11,32,POINT(-95 30.6)
2018-01-11,25,POINT(-95.1 30.6)
2018-01-11,74,POINT(-95.7 30.3)
2018-01-11,60,POINT(-95.6 30.3)
2018-01-11,54,POINT(-95.5 30.3)
2018-01-11,28,POINT(-95.3 30.3)
2018-01-11,44,POINT(-94.9 30.3)
2018-01-11,34,POINT(-94.8 30.3)
2018-01-11,28,POINT(-95.7 30.4)
2018-01-11,43,POINT(-95.6 30.4)
2018-01-11,49,POINT(-95.5 30.4)
2018-01-11,25,POINT(-93.9 30.7)
2018-01-11,31,POINT(-96.4 30.8)
2018-01-11,29,POINT(-95.5 30.8)
2018-01-11,57,POINT(-95.4 30.8)
2018-01-11,44,POINT(-93.9 30.8)
2018-01-11,53,POINT(-94 30.9)
2018-01-11,40,POINT(-95.5 30.9)
2018-01-11,36,POINT(-95.4 30.9)
2018-01-11,37,POINT(-95.3 30.9)
2018-01-11,48,POINT(-95.5 30.5)
2018-01-11,73,POINT(-95.4 31.1)
2018-01-11,36,POINT(-95.7 31.2)
2018-01-11,36,POINT(-95.3 31.2)
2018-01-11,45,POINT(-95.3 31.3)
2018-01-11,78,POINT(-95.2 31.3)
2018-01-11,32,POINT(-95.1 31.3)
2018-01-11,26,POINT(-94.9 31.3)
2018-01-11,33,POINT(-95.5 30.7)
2018-01-11,39,POINT(-95.3 30.7)
2018-01-11,29,POINT(-94.9 30.7)
2018-01-11,34,POINT(-95.1 31.4)
2018-01-11,47,POINT(-95.2 31.5)
